state,rank,gene
M0,1,CAPN8
M0,2,CYP3A5
M0,3,SULT1C2
M0,4,SYTL2
M0,5,RASEF
M0,6,ARHGAP26
M0,7,ABHD2
M0,8,AKAP13
M0,9,BCAS1
M0,10,ABLIM1
M0,11,LIPH
M0,12,DAPK2
M0,13,ABCC3
M0,14,TCF7L2
M0,15,BAIAP2L1
M0,16,FER1L6
M0,17,SPATS2L
M0,18,CDC42BPA
M0,19,FMN1
M0,20,TRAK1
M0,21,B4GALNT3
M0,22,NCKAP5
M0,23,GKN1
M0,24,VILL
M0,25,DNM2
M0,26,MUC5AC
M0,27,RNF213
M0,28,ARGLU1
M0,29,RALGPS2
M0,30,LMO7
M1,1,TFF1
M1,2,TFF2
M1,3,S100P
M1,4,MUC5AC
M1,5,AKR1B10
M1,6,CA2
M1,7,CYSTM1
M1,8,VSIG2
M1,9,GKN2
M1,10,STARD10
M1,11,AGR2
M1,12,PSCA
M1,13,ALDH3A1
M1,14,SMIM22
M1,15,SPINK1
M1,16,SGSM3
M1,17,LGALS9
M1,18,ANXA10
M1,19,TSPAN1
M1,20,FAM3B
M1,21,PLA2G10
M1,22,AKR7A3
M1,23,GALNT6
M1,24,ATP2A3
M1,25,BCAS1
M1,26,FAM177B
M1,27,TMSB4X
M1,28,TSPAN8
M1,29,RNASE1
M1,30,EFHD2
M2,1,PCSK1N
M2,2,WFDC2
M2,3,GABARAPL2
M2,4,CLU
M2,5,HMGN3
M2,6,TMEM230
M2,7,YWHAE
M2,8,APOA1
M2,9,ERGIC3
M2,10,BCAM
M2,11,GABARAP
M2,12,EPCAM
M2,13,C11orf58
M2,14,UCP2
M2,15,CST3
M2,16,CTNNB1
M2,17,TTR
M2,18,SERPINA1
M2,19,SEC11C
M2,20,DMKN
M2,21,NUCB2
M2,22,SSR4
M2,23,PIGT
M2,24,CLDN7
M2,25,NAA20
M2,26,SRP14
M2,27,ATRAID
M2,28,DYNLRB1
M2,29,XRN2
M2,30,NDUFAF3
